0.64	-198.1888
0.77	-140.4
0.89	-101.9931
1.02	-77.92548
1.14	-60.76042
1.26	-48.88646
1.39	-39.83974
1.51	-32.79693
1.64	-27.47766
1.76	-23.40464
1.88	-20.09479
2.01	-17.2355
2.13	-14.88166
2.26	-12.8558
2.38	-11.04648
2.5	    -9.56415
2.63	-8.22866
2.75	-7.05805
2.88	-6.05984
3   	-5.17312
3.12	-4.2824
3.25	-3.472
3.37	-2.74075
3.5 	-2.00356
3.62	-1.28456
3.74	-0.65834
3.87     0.50244
3.99	 0.89744
4.12	 0.8663
4.24	 0.58418
4.36	 0.3904
4.49	 0.21654
4.61	 0.02202
4.74	-0.10127
4.86	-0.17155
4.98	-0.21322
5.11	-0.20888
5.23	-0.23029
5.36	-0.20305
5.48	-0.21874
5.6	    -0.23846
5.73	-0.2965
5.85	-0.31563
5.98	-0.32894
6.1 	-0.35712
6.22	-0.33113
6.35	-0.32062
6.47	-0.30782
6.6 	-0.32404
