0.64	6.7584
0.77	3.555
0.89	2.626
1.02	1.58904
1.14	0.6236
1.26	0.55936
1.39	0.50496
1.51	0.45816
1.64	0.31452
1.76	0.38704
1.88	0.4483
2.01	0.49824
2.13	0.3858
2.26	0.43032
2.38	0.3324
2.5 	0.3093
2.63	0.2869
2.75	0.21256
2.88	0.19696
3   	0.2275
3.12	0.207
3.25	0.1864
3.37	0.23198
3.5	    0.2838
3.62	0.31976
3.74	0.28186
3.87	0.63504
3.99	1.39216
4.12	2.58352
4.24	3.22758
4.36	3.56448
4.49	3.75342
4.61	3.78672
4.74	3.7449
4.86	3.70538
4.98	3.63918
5.11	3.5828
5.23	3.49952
5.36	3.47392
5.48	3.38688
5.6 	3.355
5.73	3.25984
5.85	3.18
5.98	3.09632
6.1 	2.9808
6.22	2.91156
6.35	2.8112
6.47	2.7104
6.6 	2.59368
